 scal   -EI      E1      E2      E3     -EO     -E1I    -E2I    -E3I     EOI    -E12    -E13    -EO1    -E23    -EO2    -EO3     E12I    E13I    EO1I    E23I    EO2I    EO3I   -E123    EO12    EO13    EO23    E123I  -EO12I  -EO13I  -EO23I   EO123  -EO123I ;
 EO     -EOI     EO1     EO2     EO3    0      -EO1I   -EO2I   -EO3I    EO     -EO12   -EO13   0      -EO23   0      0       EO12I   EO13I  -EO1     EO23I  -EO2    -EO3    -EO123  0      0      0       EO123I -EO12   -EO13   -EO23   0       EO123  ;
 E1     -E1I     scal    E12     E13     EO1    -EI     -E12I   -E13I   -EO1I   -E2     -E3      EO     -E123    EO12    EO13    E2I     E3I    -EOI     E123I  -EO12I  -EO13I  -E23    -EO2    -EO3    -EO123   E23I    EO2I    EO3I    EO123I -EO23    EO23I  ;
 E2     -E2I    -E12     scal    E23     EO2     E12I   -EI     -E23I   -EO2I    E1      E123   -EO12   -E3      EO      EO23   -E1I    -E123I   EO12I   E3I    -EOI    -EO23I   E13     EO1     EO123  -EO3    -E13I   -EO1I   -EO123I  EO3I    EO13   -EO13I  ;
 E3     -E3I    -E13    -E23     scal    EO3     E13I    E23I   -EI     -EO3I   -E123    E1     -EO13    E2     -EO23    EO      E123I  -E1I     EO13I  -E2I     EO23I  -EOI    -E12    -EO123   EO1     EO2     E12I    EO123I -EO1I   -EO2I   -EO12    EO12I  ;
 EI     0      -E1I    -E2I    -E3I     EOI    0      0      0      -EI     -E12I   -E13I   -EO1I   -E23I   -EO2I   -EO3I   0      0      -E1I    0      -E2I    -E3I     E123I  -EO12I  -EO13I  -EO23I  0       E12I    E13I    E23I    EO123I  E123I  ;
 EO1    -EO1I   0       EO12    EO13   0       scal   -EO12I  -EO13I  0      0      0      0      -EO123  0      0       E2      E3     -EO      EO123I 0      0      0      0      0      0      -E23    -EO2    -EO3    0      0       EO23   ;
 EO2    -EO2I   -EO12   0       EO23   0       EO12I   scal   -EO23I  0      0       EO123  0      0      0      0      -E1     -EO123I 0       E3     -EO     0      0      0      0      0       E13     EO1    0      -EO3    0      -EO13   ;
 EO3    -EO3I   -EO13   -EO23   0      0       EO13I   EO23I   scal   0      -EO123  0      0      0      0      0       EO123I -E1     0      -E2     0      -EO     0      0      0      0      -E12    0       EO1     EO2    0       EO12   ;
 EOI    0      -EO1I   -EO2I   -EO3I   0      0      0      0       scal   -EO12I  -EO13I  0      -EO23I  0      0      0      0      -E1     0      -E2     -E3      EO123I 0      0      0      0      -E12    -E13    -E23    0       E123   ;
 E12    -E12I   0      0       E123   -EO12   0      0      -E123I   EO12I   scal   0      0      0      0      -EO123  -EI     0      0      0      0       EO123I  E3     -EO     0      0      -E3I     EOI    0      0      -EO3     EO3I   ;
 E13    -E13I   0      -E123   0      -EO13   0       E123I  0       EO13I  0       scal   0      0       EO123  0      0      -EI     0      0      -EO123I 0      -E2     0      -EO     0       E2I    0       EOI    0       EO2    -EO2I   ;
 E1I    0      0      -E12I   -E13I   -EO1I   0      0      0      0      0      0       scal   -E123I   EO12I   EO13I  0      0      -EI     0      0      0      0      -E2     -E3      EO123I 0       E2I     E3I    0      -E23     E23I   ;
 E23    -E23I    E123   0      0      -EO23   -E123I  0      0       EO23I  0      0      -EO123   scal   0      0      0      0       EO123I -EI     0      0       E1     0      0      -EO     -E1I    0      0       EOI    -EO1     EO1I   ;
 E2I    0       E12I   0      -E23I   -EO2I   0      0      0      0      0       E123I  -EO12I  0       scal    EO23I  0      0      0      0      -EI     0      0       E1     -EO123I -E3     0      -E1I    0       E3I     E13    -E13I   ;
 E3I    0       E13I    E23I   0      -EO3I   0      0      0      0      -E123I  0      -EO13I  0      -EO23I   scal   0      0      0      0      0      -EI     0       EO123I  E1      E2     0      0      -E1I    -E2I    -E12     E12I   ;
 EO12   -EO12I  0      0       EO123  0      0      0      -EO123I 0      0      0      0      0      0      0       scal   0      0      0      0      0      0      0      0      0      -E3      EO     0      0      0      -EO3    ;
 EO13   -EO13I  0      -EO123  0      0      0       EO123I 0      0      0      0      0      0      0      0      0       scal   0      0      0      0      0      0      0      0       E2     0       EO     0      0       EO2    ;
 EO1I   0      0      -EO12I  -EO13I  0      0      0      0      0      0      0      0      -EO123I 0      0      0      0       scal   0      0      0      0      0      0      0      0       E2      E3     0      0      -E23    ;
 EO23   -EO23I   EO123  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0       scal   0      0      0      0      0      0      -E1     0      0       EO     0      -EO1    ;
